Date:,9/13/2023,,,,,,,,
Time:,7:45 PM,,,,,,,,
Summary Notes:,Flat Plate Angle,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:43:52.468,21,91,0,0.02,1.15,0.02,0,Normal,
20230913 19:43:52.500,20.7,90,0,0.01,1.18,-0.19,0,Normal,
20230913 19:43:52.515,20.5,90,0,0,1.15,0.11,0,Normal,
20230913 19:43:52.531,20.4,89,0,0.01,1.1,-0.06,0,Normal,
20230913 19:43:52.546,20.4,89,0,-0.02,1.1,-0.08,0,Normal,
20230913 19:43:52.562,19.9,88,0,0.01,1.14,0.07,0,Normal,
20230913 19:43:52.578,22.1,93,0,-0.05,1.18,-0.04,0,Normal,
20230913 19:43:52.593,20.1,89,0,0.02,1.18,0.01,0,Normal,
20230913 19:43:52.609,20.9,90,0,-0.07,1.32,0.04,0,Normal,
20230913 19:43:52.625,22.6,94,0,0.03,1.15,-0.1,0,Normal,
20230913 19:43:52.656,20.5,89,0,-0.07,1.22,-0.02,0,Normal,
20230913 19:43:52.671,20.5,90,0,0.03,1.15,-0.14,0,Normal,
20230913 19:43:52.687,21.4,92,0,0.01,1.13,-0.06,0,Normal,
20230913 19:43:52.703,20.1,89,0,-0.02,1.22,0.05,0,Normal,
20230913 19:43:52.718,21.8,92,0,-0.04,1.16,-0.03,0,Normal,
20230913 19:43:52.734,20.4,89,0,-0.05,1.25,-0.2,0,Normal,
20230913 19:43:52.750,21.8,92,0,0.07,1.13,-0.09,0,Normal,
20230913 19:43:52.765,20.5,90,0,0.01,1.24,0,0,Normal,
20230913 19:43:52.781,20.6,90,0,-0.02,1.16,-0.04,0,Normal,
20230913 19:43:52.796,21.4,91,0,-0.04,1.18,-0.11,0,Normal,
20230913 19:43:52.812,21.6,92,0,-0.03,1.3,0.11,0,Normal,
20230913 19:43:52.828,20.3,89,0,0,1.18,-0.12,0,Normal,
20230913 19:43:52.843,21.5,92,0,-0.02,1.19,0.02,0,Normal,
20230913 19:43:52.859,20.9,90,0,-0.08,1.25,-0.12,0,Normal,
20230913 19:43:52.875,19.8,88,0,0.01,1.22,-0.1,0,Normal,
20230913 19:43:52.890,20.9,90,0,0.03,1.06,-0.05,0,Normal,
20230913 19:43:52.921,20.7,90,0,-0.01,1.16,-0.12,0,Normal,
20230913 19:43:52.937,21.6,92,0,-0.08,1.2,-0.01,0,Normal,
20230913 19:43:52.953,20.9,91,0,-0.03,1.16,-0.06,0,Normal,
20230913 19:43:52.968,22.3,93,0,0,1.17,0.05,0,Normal,
20230913 19:43:52.984,20.8,90,0,0,1.2,0.09,0,Normal,
20230913 19:43:53.000,19.9,88,0,0.02,1.06,-0.14,0,Normal,
20230913 19:43:53.015,20.9,90,0,0.03,1.1,-0.09,0,Normal,
20230913 19:43:53.031,20.9,90,0,-0.01,1.25,-0.03,0,Normal,
20230913 19:43:53.046,20.6,90,0,0.02,1.08,0.01,0,Normal,
20230913 19:43:53.062,21.4,91,0,0.01,1.18,-0.08,0,Normal,
20230913 19:43:53.078,20.5,90,0,0.03,1.13,-0.13,0,Normal,
20230913 19:43:53.093,19.8,88,0,-0.08,1.19,0.02,0,Normal,
20230913 19:43:53.109,20.7,90,0,0.03,1.16,-0.03,0,Normal,
20230913 19:43:53.125,20.1,89,0,0,1.26,0.01,0,Normal,
20230913 19:43:53.140,20.3,89,0,0.01,1.06,-0.03,0,Normal,
20230913 19:43:53.156,20.6,90,0,-0.02,1.16,-0.13,0,Normal,
20230913 19:43:53.187,20.7,90,0,-0.02,1.23,0.02,0,Normal,
20230913 19:43:53.203,20.8,90,0,-0.06,1.2,-0.04,0,Normal,
20230913 19:43:53.218,21.4,91,0,0.02,1.19,-0.06,0,Normal,
20230913 19:43:53.234,19.3,87,0,-0.08,1.33,-0.07,0,Normal,
20230913 19:43:53.250,21.2,91,0,-0.04,1.2,-0.03,0,Normal,
20230913 19:43:53.265,21.5,92,0,-0.05,1.23,-0.07,0,Normal,
20230913 19:43:53.281,19.7,88,0,-0.02,1.32,0.01,0,Normal,
20230913 19:43:53.296,21.6,92,0,0.01,1.13,-0.07,0,Normal,
20230913 19:43:53.312,20.5,90,0,0,1.18,-0.04,0,Normal,
20230913 19:43:53.328,20.8,90,0,0.02,1.09,0.02,0,Normal,
20230913 19:43:53.343,21,91,0,-0.02,1.2,0.03,0,Normal,
20230913 19:43:53.359,21.2,91,0,0.02,1.06,0.05,0,Normal,
20230913 19:43:53.375,20.4,89,0,-0.04,1.12,-0.05,0,Normal,
20230913 19:43:53.390,21.2,91,0,0.02,1.25,0.05,0,Normal,
20230913 19:43:53.406,20.7,90,0,-0.01,1.26,-0.1,0,Normal,
20230913 19:43:53.421,21.1,91,0,-0.03,1.22,-0.09,0,Normal,
20230913 19:43:53.453,20.2,89,0,0.01,1.12,0.04,0,Normal,
20230913 19:43:53.468,21.1,91,0,0.06,1.24,-0.1,0,Normal,
20230913 19:43:53.484,20.5,90,0,0.01,1.08,-0.02,0,Normal,
20230913 19:43:53.500,21,91,0,0,1.2,-0.09,0,Normal,
20230913 19:43:53.515,20.7,90,0,0.05,1.09,-0.01,0,Normal,
20230913 19:43:53.531,21.2,91,0,0.04,1.18,-0.04,0,Normal,
20230913 19:43:53.546,21,91,0,0.06,1.07,-0.08,0,Normal,
20230913 19:43:53.562,19.6,87,0,0.02,1.24,0.02,0,Normal,
20230913 19:43:53.578,21.8,92,0,-0.01,1.2,-0.12,0,Normal,
20230913 19:43:53.593,21.6,92,0,-0.05,1.23,-0.09,0,Normal,
20230913 19:43:53.609,21.2,91,0,-0.02,1.21,-0.1,0,Normal,
20230913 19:43:53.625,20.4,89,0,-0.05,1.26,-0.09,0,Normal,
20230913 19:43:53.640,21.7,92,0,-0.02,1.23,0.02,0,Normal,
20230913 19:43:53.656,21.2,91,0,0.02,1.2,0.05,0,Normal,
20230913 19:43:53.671,20.2,89,0,0,1.22,-0.02,0,Normal,
20230913 19:43:53.687,22,93,0,-0.02,1.18,0.02,0,Normal,
20230913 19:43:53.718,20.8,90,0,-0.01,1.21,-0.06,0,Normal,
20230913 19:43:53.734,19.9,88,0,-0.03,1.15,-0.02,0,Normal,
20230913 19:43:53.750,21.3,91,0,0.01,1.15,-0.01,0,Normal,
