Date:,9/13/2023,,,,,,,,
Time:,7:50 PM,,,,,,,,
Summary Notes:,half sphere,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:49:43.796,0,3,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:43.828,0,4,-0.1,0,0.01,-0.02,0,Normal,
20230913 19:49:43.843,0,4,-0.1,-0.03,0.01,-0.04,0,Normal,
20230913 19:49:43.859,0,4,-0.1,-0.01,0.01,-0.03,0,Normal,
20230913 19:49:43.875,0.1,5,-0.1,-0.03,0,-0.03,0,Normal,
20230913 19:49:43.890,0,2,-0.1,0.01,0.02,-0.03,0,Normal,
20230913 19:49:43.906,0,2,-0.1,0,0.01,-0.05,0,Normal,
20230913 19:49:43.921,0,3,-0.1,0.01,0,0.01,0,Normal,
20230913 19:49:43.937,0,4,-0.1,-0.01,-0.01,-0.02,0,Normal,
20230913 19:49:43.953,0,4,-0.1,-0.01,0,0,0,Normal,
20230913 19:49:43.968,0,2,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:43.984,0,2,-0.1,0,0.01,-0.02,0,Normal,
20230913 19:49:44.000,0,1,-0.1,0.03,0.01,-0.03,0,Normal,
20230913 19:49:44.015,0.1,5,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:44.046,0,4,-0.1,0.02,0,0,0,Normal,
20230913 19:49:44.062,0,4,-0.1,0.02,0,-0.01,0,Normal,
20230913 19:49:44.078,0,3,-0.1,0.01,0,-0.02,0,Normal,
20230913 19:49:44.093,0,1,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:44.109,0,2,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:44.125,0,4,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:44.140,0,0,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:44.156,0,3,-0.1,-0.02,0,-0.05,0,Normal,
20230913 19:49:44.171,0,3,-0.1,-0.01,-0.01,-0.02,0,Normal,
20230913 19:49:44.187,0,4,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:44.203,0,3,-0.1,0.01,0,-0.03,0,Normal,
20230913 19:49:44.218,0,2,-0.1,0.01,0,-0.06,0,Normal,
20230913 19:49:44.234,0,1,-0.1,0,0.01,-0.03,0,Normal,
20230913 19:49:44.250,0,2,-0.1,0.01,0,-0.04,0,Normal,
20230913 19:49:44.265,0,3,-0.1,-0.02,0.01,-0.06,0,Normal,
20230913 19:49:44.281,0,2,-0.1,-0.02,0,-0.05,0,Normal,
20230913 19:49:44.312,0,3,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:44.328,0,1,-0.1,0,0,-0.07,0,Normal,
20230913 19:49:44.343,0,2,-0.1,0.01,-0.01,-0.04,0,Normal,
20230913 19:49:44.359,0,1,-0.1,-0.04,0,-0.07,0,Normal,
20230913 19:49:44.375,0,3,-0.1,-0.04,0,-0.06,0,Normal,
20230913 19:49:44.390,0,1,-0.1,-0.01,-0.01,-0.05,0,Normal,
20230913 19:49:44.406,0,3,-0.1,-0.03,0,-0.08,0,Normal,
20230913 19:49:44.421,-0.1,5,-0.1,-0.03,0,-0.06,0,Normal,
20230913 19:49:44.437,0,4,-0.1,-0.02,-0.01,-0.05,0,Normal,
20230913 19:49:44.453,0,4,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:44.468,-0.1,5,-0.1,0,-0.01,-0.03,0,Normal,
20230913 19:49:44.484,0,2,-0.1,-0.03,0.01,-0.06,0,Normal,
20230913 19:49:44.500,0,4,-0.1,-0.03,-0.01,-0.04,0,Normal,
20230913 19:49:44.515,0,4,-0.1,-0.03,0,-0.02,0,Normal,
20230913 19:49:44.531,0,4,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:44.546,0,1,-0.1,-0.02,-0.01,-0.05,0,Normal,
20230913 19:49:44.578,0,3,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:44.593,0,2,-0.1,-0.01,0,-0.07,0,Normal,
20230913 19:49:44.609,0,2,-0.1,-0.03,0,-0.05,0,Normal,
20230913 19:49:44.625,0,4,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:44.640,0,3,-0.1,-0.02,-0.01,-0.06,0,Normal,
20230913 19:49:44.656,0,4,-0.1,-0.01,0,-0.06,0,Normal,
20230913 19:49:44.671,0,2,-0.1,-0.01,-0.01,-0.05,0,Normal,
20230913 19:49:44.687,0,3,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:44.703,0,2,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:44.718,0,3,-0.1,-0.01,-0.02,-0.04,0,Normal,
20230913 19:49:44.734,0,4,-0.1,-0.01,-0.01,-0.04,0,Normal,
20230913 19:49:44.750,0,2,-0.1,-0.03,0,-0.05,0,Normal,
20230913 19:49:44.765,0,2,-0.1,-0.04,0,-0.06,0,Normal,
20230913 19:49:44.781,0,4,-0.1,-0.01,0,-0.07,0,Normal,
20230913 19:49:44.796,0,0,-0.1,-0.02,0,-0.06,0,Normal,
20230913 19:49:44.828,0,1,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:44.843,0,2,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:44.859,0,4,-0.1,0,0,-0.04,0,Normal,
20230913 19:49:44.875,0,2,-0.1,0,0,-0.05,0,Normal,
20230913 19:49:44.890,0,2,-0.1,-0.04,0,-0.04,0,Normal,
20230913 19:49:44.906,-0.1,4,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:44.921,0,2,-0.1,-0.03,0,-0.04,0,Normal,
20230913 19:49:44.937,0,3,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:44.953,0,1,-0.1,-0.02,0,-0.06,0,Normal,
20230913 19:49:44.968,0,3,-0.1,0,0,-0.05,0,Normal,
20230913 19:49:44.984,0,2,-0.1,-0.04,0,-0.05,0,Normal,
20230913 19:49:45.000,0,0,-0.1,0,-0.02,-0.05,0,Normal,
20230913 19:49:45.015,0,2,-0.1,-0.02,-0.01,-0.06,0,Normal,
20230913 19:49:45.031,0,3,-0.1,-0.02,-0.01,-0.05,0,Normal,
20230913 19:49:45.046,0,4,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:45.062,0,1,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:45.093,0,3,-0.1,-0.04,-0.01,-0.04,0,Normal,
20230913 19:49:45.109,0,2,-0.1,-0.01,-0.01,-0.06,0,Normal,
20230913 19:49:45.125,0,3,-0.1,-0.02,-0.01,-0.04,0,Normal,
20230913 19:49:45.140,0,2,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:45.156,0,2,-0.1,-0.01,-0.01,-0.02,0,Normal,
20230913 19:49:45.171,0,2,-0.1,0,-0.01,-0.06,0,Normal,
20230913 19:49:45.187,0,3,-0.1,0,-0.01,-0.06,0,Normal,
20230913 19:49:45.203,0,2,-0.1,-0.01,0,-0.06,0,Normal,
20230913 19:49:45.218,0,0,-0.1,-0.02,0,-0.05,0,Normal,
20230913 19:49:45.234,0,1,-0.1,-0.02,-0.01,-0.05,0,Normal,
20230913 19:49:45.250,0,4,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:45.265,0,3,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:45.281,0,3,-0.1,-0.03,0,-0.03,0,Normal,
20230913 19:49:45.296,0,2,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:45.312,0,2,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:45.343,0,4,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:45.359,0,2,-0.1,-0.01,0.01,-0.04,0,Normal,
20230913 19:49:45.375,0,2,-0.1,-0.01,-0.01,-0.04,0,Normal,
20230913 19:49:45.390,0,0,-0.1,-0.03,0,-0.02,0,Normal,
20230913 19:49:45.406,0,3,-0.1,0.01,0,-0.07,0,Normal,
20230913 19:49:45.421,0,2,-0.1,-0.02,0,-0.05,0,Normal,
20230913 19:49:45.437,0,4,-0.1,-0.03,-0.01,-0.05,0,Normal,
20230913 19:49:45.453,0,2,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:45.468,0,2,-0.1,0,0,-0.04,0,Normal,
20230913 19:49:45.484,0,2,-0.1,-0.02,0,-0.03,0,Normal,
20230913 19:49:45.500,0,0,-0.1,-0.01,0.01,-0.05,0,Normal,
20230913 19:49:45.515,0,2,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:45.531,0,1,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:45.546,0,2,-0.1,0,0,-0.04,0,Normal,
20230913 19:49:45.562,0,4,-0.1,-0.01,0.01,-0.04,0,Normal,
20230913 19:49:45.578,0,2,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:45.609,0,3,-0.1,0,0.01,-0.02,0,Normal,
20230913 19:49:45.625,0,3,-0.1,-0.02,0,-0.03,0,Normal,
20230913 19:49:45.640,0,2,-0.1,0.01,0.01,-0.01,0,Normal,
20230913 19:49:45.656,0,3,-0.1,0.01,0,-0.05,0,Normal,
20230913 19:49:45.671,0,3,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:45.687,0,2,-0.1,-0.02,-0.01,-0.02,0,Normal,
20230913 19:49:45.703,0,2,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:45.718,0,3,-0.1,-0.04,0,-0.05,0,Normal,
20230913 19:49:45.734,0,1,-0.1,0.02,0.01,-0.04,0,Normal,
20230913 19:49:45.750,0,3,-0.1,-0.01,-0.01,-0.03,0,Normal,
20230913 19:49:45.765,0,3,-0.1,-0.02,-0.01,-0.03,0,Normal,
20230913 19:49:45.781,0,1,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:45.796,0,3,-0.1,0.02,0,-0.05,0,Normal,
20230913 19:49:45.812,0,3,-0.1,0,0,-0.02,0,Normal,
20230913 19:49:45.828,0,2,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:45.843,0,0,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:45.875,0,2,-0.1,-0.01,0.01,-0.02,0,Normal,
20230913 19:49:45.890,0,0,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:45.906,0,4,-0.1,-0.03,0.01,-0.06,0,Normal,
20230913 19:49:45.921,0,2,-0.1,-0.02,0,-0.03,0,Normal,
20230913 19:49:45.937,0,2,-0.1,-0.02,0,-0.03,0,Normal,
20230913 19:49:45.953,-0.1,5,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:45.968,0,3,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:45.984,0,3,-0.1,-0.01,0.01,-0.05,0,Normal,
20230913 19:49:46.000,0,2,-0.1,-0.04,0,-0.03,0,Normal,
20230913 19:49:46.015,0,3,-0.1,-0.01,0.01,-0.05,0,Normal,
20230913 19:49:46.031,0,2,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:46.046,0,4,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:46.062,0,1,-0.1,-0.02,0,-0.02,0,Normal,
20230913 19:49:46.078,0,2,-0.1,-0.01,-0.01,-0.02,0,Normal,
20230913 19:49:46.093,0,3,-0.1,-0.02,0,-0.05,0,Normal,
20230913 19:49:46.125,0,3,-0.1,-0.02,-0.01,-0.02,0,Normal,
20230913 19:49:46.140,0,1,-0.1,0,0,-0.02,0,Normal,
20230913 19:49:46.156,0,3,-0.1,0,-0.01,-0.03,0,Normal,
20230913 19:49:46.171,0,2,-0.1,0.01,0,-0.01,0,Normal,
20230913 19:49:46.187,0,2,-0.1,-0.02,-0.01,-0.05,0,Normal,
20230913 19:49:46.203,0,3,-0.1,-0.01,0.01,-0.02,0,Normal,
20230913 19:49:46.218,0,2,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:46.234,0,4,-0.1,-0.03,0,-0.02,0,Normal,
20230913 19:49:46.250,0,2,-0.1,-0.01,-0.01,-0.03,0,Normal,
20230913 19:49:46.265,0,1,-0.1,-0.03,0,-0.02,0,Normal,
