Date:,9/26/2022,,,,,,,,
Time:,1:43 PM,,,,,,,,
Summary Notes:,Flat_Plate_Angle_NoVelocity,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20220926 13:42:37.687,0,2,-0.1,0,0,-0.01,0,Normal,
20220926 13:42:41.734,0,1,-0.1,0.03,-0.01,-0.05,0,Normal,
20220926 13:42:41.843,0,3,-0.1,-0.03,0,-0.06,0,Normal,
20220926 13:42:41.953,0,1,-0.1,-0.01,-0.02,-0.02,0,Normal,
20220926 13:42:42.062,0,4,-0.1,0,0,-0.04,0,Normal,
20220926 13:42:42.171,0,2,-0.1,0,-0.01,-0.02,0,Normal,
20220926 13:42:42.281,0,4,-0.1,-0.02,-0.01,-0.04,0,Normal,
20220926 13:42:42.390,0,2,-0.1,0,-0.01,-0.03,0,Normal,
20220926 13:42:42.500,0,3,-0.1,0,-0.01,-0.04,0,Normal,
20220926 13:42:42.609,0,2,-0.1,0.01,-0.01,-0.03,0,Normal,
20220926 13:42:42.718,0,2,-0.1,0.01,-0.01,-0.02,0,Normal,
20220926 13:42:42.828,0.1,5,-0.1,0,-0.01,-0.02,0,Normal,
20220926 13:42:42.937,0,1,-0.1,0,-0.01,-0.02,0,Normal,
20220926 13:42:43.046,0,2,-0.1,0.02,-0.02,0.02,0,Normal,
20220926 13:42:43.156,0,2,-0.1,0.01,0,-0.03,0,Normal,
20220926 13:42:43.265,0,3,-0.1,0.01,0,-0.05,0,Normal,
20220926 13:42:43.390,0,2,-0.1,0,-0.01,-0.03,0,Normal,
20220926 13:42:43.500,0,2,-0.1,0.01,-0.02,-0.05,0,Normal,
20220926 13:42:43.609,0,2,-0.1,-0.01,0,-0.04,0,Normal,
20220926 13:42:43.718,0,3,-0.1,-0.01,-0.01,-0.02,0,Normal,
20220926 13:42:43.828,0,1,-0.1,-0.01,-0.02,-0.02,0,Normal,
20220926 13:42:43.937,0,4,-0.1,-0.01,0.01,-0.02,0,Normal,
20220926 13:42:44.046,0,4,-0.1,0.02,0,0.01,0,Normal,
20220926 13:42:44.156,0,1,-0.1,0,-0.01,-0.03,0,Normal,
20220926 13:42:44.265,0,2,-0.1,0,-0.01,-0.01,0,Normal,
20220926 13:42:44.375,0,3,-0.1,-0.01,-0.01,-0.03,0,Normal,
20220926 13:42:44.484,0,2,-0.1,0.01,0,-0.03,0,Normal,
20220926 13:42:44.593,0,3,-0.1,0.03,0,-0.04,0,Normal,
20220926 13:42:44.703,0,3,-0.1,0.02,0,0,0,Normal,
20220926 13:42:44.812,0,3,0,0.01,-0.01,-0.01,0,Normal,
20220926 13:42:44.937,0,2,0.1,0.01,0,-0.01,0,Normal,
20220926 13:42:45.046,0,2,0.1,-0.01,-0.01,0,0,Normal,
20220926 13:42:45.156,0,3,0.2,0.01,-0.01,-0.02,0,Normal,
20220926 13:42:45.265,0,4,0.2,0.02,0,0,0,Normal,
20220926 13:42:45.375,0,2,0.2,-0.02,-0.01,-0.01,0,Normal,
20220926 13:42:45.484,0,3,0.2,-0.01,-0.01,-0.04,0,Normal,
20220926 13:42:45.593,0,4,0.3,0,-0.01,-0.03,0,Normal,
20220926 13:42:45.703,0,2,0.4,0,0,-0.03,0,Normal,
20220926 13:42:45.812,0,3,0.4,0.01,-0.01,-0.01,0,Normal,
20220926 13:42:45.921,0,3,0.4,0.01,0.01,-0.04,0,Normal,
20220926 13:42:46.031,0,4,0.4,0,-0.01,0,0,Normal,
20220926 13:42:46.140,0.1,5,0.6,0.01,0,-0.03,0,Normal,
20220926 13:42:46.265,0.1,6,0.6,-0.02,0.01,0,0,Normal,
20220926 13:42:46.375,0,4,0.6,0.01,0.01,-0.01,0,Normal,
20220926 13:42:46.484,0,2,0.6,-0.02,0,-0.04,0,Normal,
20220926 13:42:46.593,0,3,0.7,-0.03,-0.01,-0.06,0,Normal,
20220926 13:42:46.703,0,1,0.7,-0.01,0,-0.05,0,Normal,
20220926 13:42:46.812,0,3,0.7,-0.01,0,-0.05,0,Normal,
20220926 13:42:46.921,0,2,0.7,-0.01,-0.01,-0.05,0,Normal,
20220926 13:42:47.031,0,2,0.8,0,0.01,-0.02,0,Normal,
20220926 13:42:47.140,0,1,0.8,0,0,-0.05,0,Normal,
20220926 13:42:47.250,0,2,0.8,0.01,0,-0.01,0,Normal,
20220926 13:42:47.359,0,1,0.8,0,-0.02,-0.03,0,Normal,
20220926 13:42:47.468,0,2,0.9,0,0,-0.02,0,Normal,
20220926 13:42:47.593,0,3,0.9,0.01,0,-0.03,0,Normal,
20220926 13:42:47.703,0,2,0.9,-0.01,-0.01,-0.01,0,Normal,
20220926 13:42:47.812,0,3,1.1,0,0,-0.02,0,Normal,
20220926 13:42:47.921,0,1,1,-0.01,0,-0.05,0,Normal,
20220926 13:42:48.031,0,3,1.1,-0.01,0.01,-0.03,0,Normal,
20220926 13:42:48.140,0,4,1.1,0,0.01,-0.08,0,Normal,
20220926 13:42:48.250,0,2,1.1,0.01,-0.03,-0.04,0,Normal,
20220926 13:42:48.359,0,2,1.2,-0.01,0,-0.03,0,Normal,
20220926 13:42:48.468,0,2,1.3,0.01,0.01,0.01,0,Normal,
20220926 13:42:48.578,0,3,1.5,0.01,0,0,0,Normal,
20220926 13:42:48.687,0,2,1.5,0.01,0.01,0,0,Normal,
20220926 13:42:48.796,0,1,1.6,-0.01,0.01,-0.01,0,Normal,
20220926 13:42:48.921,0,1,1.6,0,0,0,0,Normal,
20220926 13:42:49.031,0,2,1.7,-0.02,0,0,0,Normal,
20220926 13:42:49.140,0,4,1.8,0.03,0.01,-0.02,0,Normal,
20220926 13:42:49.250,0,3,1.9,0.01,-0.01,-0.02,0,Normal,
20220926 13:42:49.359,0,2,1.9,0.03,0.01,-0.02,0,Normal,
20220926 13:42:49.468,0,2,1.9,-0.01,0.01,-0.03,0,Normal,
20220926 13:42:49.578,0,2,2,0.03,0.02,-0.05,0,Normal,
20220926 13:42:49.687,0,4,2.1,0,0,-0.03,0,Normal,
20220926 13:42:49.796,0,2,2.4,0,0.02,-0.02,0,Normal,
20220926 13:42:49.906,0,4,2.6,0.02,0.02,0,0,Normal,
20220926 13:42:50.015,0,4,2.6,0.03,0.01,-0.01,0,Normal,
20220926 13:42:50.125,0,4,2.7,0.03,0.01,0,0,Normal,
20220926 13:42:50.250,0,3,2.9,0.02,0.02,-0.02,0,Normal,
20220926 13:42:50.359,0,0,3.2,-0.01,0.02,-0.04,0,Normal,
20220926 13:42:50.468,0,2,3.3,0.03,0.01,-0.04,0,Normal,
20220926 13:42:50.578,0,2,3.4,0,0.01,-0.03,0,Normal,
20220926 13:42:50.687,0,1,3.4,0.02,0.01,-0.04,0,Normal,
20220926 13:42:50.796,0,2,3.7,-0.01,0.02,-0.02,0,Normal,
20220926 13:42:50.906,0,1,4,-0.02,0.01,-0.04,0,Normal,
20220926 13:42:51.015,0,2,4.1,0,0.03,-0.04,0,Normal,
20220926 13:42:51.125,0,2,4.5,0.01,0.03,-0.02,0,Normal,
20220926 13:42:51.234,0,4,4.5,0.02,0.03,-0.02,0,Normal,
20220926 13:42:51.343,0,3,4.7,0.02,0.02,-0.04,0,Normal,
20220926 13:42:51.453,0,2,4.9,0.01,0.03,-0.02,0,Normal,
20220926 13:42:51.562,0,2,5.1,0,0.04,-0.03,0,Normal,
20220926 13:42:51.671,0,3,5.2,0,0.04,-0.03,0,Normal,
20220926 13:42:51.781,0,2,5.4,0,0.03,-0.04,0,Normal,
20220926 13:42:51.890,0,2,5.4,0,0.03,-0.04,0,Normal,
20220926 13:42:52.000,0,4,5.4,0.01,0.04,-0.04,0,Normal,
20220926 13:42:52.109,0,1,5.6,0.02,0.03,-0.02,0,Normal,
20220926 13:42:52.218,0,1,5.6,0.02,0.05,-0.05,0,Normal,
20220926 13:42:52.328,0,4,5.7,0,0.03,-0.01,0,Normal,
20220926 13:42:52.437,0,0,5.8,0,0.04,-0.01,0,Normal,
20220926 13:42:52.562,0,3,5.9,0,0.04,-0.03,0,Normal,
20220926 13:42:52.671,0,2,5.9,0.01,0.03,-0.02,0,Normal,
20220926 13:42:52.781,0,3,5.9,0,0.04,-0.03,0,Normal,
20220926 13:42:52.890,0,2,5.9,0,0.03,-0.03,0,Normal,
20220926 13:42:53.000,0,2,6,-0.01,0.03,-0.05,0,Normal,
20220926 13:42:53.109,0,2,6.2,0.01,0.04,-0.05,0,Normal,
20220926 13:42:53.218,0,4,6.2,-0.01,0.04,-0.03,0,Normal,
20220926 13:42:53.328,0.1,4,6.2,0.03,0.04,0,0,Normal,
20220926 13:42:53.437,0,2,6.2,0.03,0.04,-0.01,0,Normal,
20220926 13:42:53.546,0.1,5,6.6,0.01,0.05,0.02,0,Normal,
20220926 13:42:53.656,0,3,6.8,0.01,0.05,0.01,0,Normal,
20220926 13:42:53.765,0,4,6.8,0.01,0.05,-0.01,0,Normal,
20220926 13:42:53.875,0,3,6.8,0.02,0.04,0,0,Normal,
20220926 13:42:53.984,0,2,6.8,-0.01,0.05,0.01,0,Normal,
20220926 13:42:54.093,0,3,6.8,-0.01,0.04,-0.02,0,Normal,
20220926 13:42:54.203,0,0,6.8,0,0.04,-0.02,0,Normal,
20220926 13:42:54.312,0,2,7.1,0,0.05,-0.02,0,Normal,
20220926 13:42:54.421,0,2,7.3,-0.01,0.05,0,0,Normal,
