Date:,9/13/2023,,,,,,,,
Time:,7:40 PM,,,,,,,,
Summary Notes:,Flat Plate Velocity,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:39:10.468,0,4,0,0,-0.02,0.01,0,Normal,
20230913 19:39:10.484,0,2,0,0.03,-0.02,-0.02,0,Normal,
20230913 19:39:10.515,0,1,0,-0.02,-0.02,-0.04,0,Normal,
20230913 19:39:10.531,0,2,0,-0.01,-0.01,-0.03,0,Normal,
20230913 19:39:10.546,0,2,0,-0.01,-0.01,-0.03,0,Normal,
20230913 19:39:10.562,-0.1,5,0,0.01,-0.01,-0.02,0,Normal,
20230913 19:39:10.578,0,2,0,-0.01,-0.01,-0.01,0,Normal,
20230913 19:39:10.593,0,3,0,-0.02,-0.01,-0.03,0,Normal,
20230913 19:39:10.609,0,4,0,-0.01,-0.01,-0.04,0,Normal,
20230913 19:39:10.625,0,3,0,-0.01,-0.01,-0.02,0,Normal,
20230913 19:39:10.640,0,1,0,0,-0.01,-0.04,0,Normal,
20230913 19:39:10.656,0,1,0,-0.01,-0.02,-0.05,0,Normal,
20230913 19:39:10.671,0,3,0,-0.01,-0.01,-0.03,0,Normal,
20230913 19:39:10.687,0,2,0,-0.02,-0.01,-0.03,0,Normal,
20230913 19:39:10.703,0,3,0,-0.02,-0.01,-0.02,0,Normal,
20230913 19:39:10.718,0,4,0,0,-0.01,-0.02,0,Normal,
20230913 19:39:10.734,0,3,0,-0.01,-0.01,-0.05,0,Normal,
20230913 19:39:10.765,0,3,0,-0.02,0,-0.03,0,Normal,
20230913 19:39:10.781,0,3,0,0,-0.01,-0.01,0,Normal,
20230913 19:39:10.796,0,2,0,-0.01,-0.01,-0.03,0,Normal,
20230913 19:39:10.812,0,4,0,0,-0.01,-0.03,0,Normal,
20230913 19:39:10.828,0,3,0,-0.02,0,-0.02,0,Normal,
20230913 19:39:10.843,0,2,0,0,-0.01,-0.01,0,Normal,
20230913 19:39:10.859,0.1,5,0,-0.01,-0.01,0,0,Normal,
20230913 19:39:10.875,0,2,0,-0.01,-0.01,-0.02,0,Normal,
20230913 19:39:10.890,0,2,0,0,-0.01,-0.01,0,Normal,
20230913 19:39:10.906,0,2,0,-0.01,0,0,0,Normal,
20230913 19:39:10.921,0,3,0,0,-0.01,-0.02,0,Normal,
20230913 19:39:10.937,0,2,0,-0.01,-0.01,-0.01,0,Normal,
20230913 19:39:10.953,0,3,0,-0.01,-0.02,-0.01,0,Normal,
20230913 19:39:10.968,0,1,0,0,-0.01,-0.01,0,Normal,
20230913 19:39:10.984,0.1,5,0,-0.01,0,-0.02,0,Normal,
20230913 19:39:11.000,0,4,0,0,0,-0.02,0,Normal,
20230913 19:39:11.031,0,4,0,0.02,0,-0.05,0,Normal,
20230913 19:39:11.046,0,2,0,0,0,-0.02,0,Normal,
20230913 19:39:11.062,0,2,0,-0.02,0,-0.02,0,Normal,
20230913 19:39:11.078,0,2,0,0.01,-0.01,0,0,Normal,
20230913 19:39:11.093,0,2,0,0,-0.01,-0.02,0,Normal,
20230913 19:39:11.109,0,2,0,0.02,0,0,0,Normal,
20230913 19:39:11.125,0,3,0,0,0.01,-0.01,0,Normal,
20230913 19:39:11.140,0,3,0,0.01,0,-0.01,0,Normal,
20230913 19:39:11.156,0,2,0,0,0,0.02,0,Normal,
20230913 19:39:11.171,0,3,0,-0.01,0,0,0,Normal,
20230913 19:39:11.187,0,3,0,0,-0.01,0,0,Normal,
20230913 19:39:11.203,0,3,0,0.01,0,-0.02,0,Normal,
20230913 19:39:11.218,0,3,0,0.01,0,-0.03,0,Normal,
20230913 19:39:11.234,0.1,5,0,0,0,0,0,Normal,
20230913 19:39:11.250,0,4,0,0,0,-0.03,0,Normal,
20230913 19:39:11.265,0,2,0,0.01,0,0.02,0,Normal,
20230913 19:39:11.296,0,1,0,0.01,0,-0.01,0,Normal,
