Date:,9/13/2023,,,,,,,,
Time:,7:47 PM,,,,,,,,
Summary Notes:,inverted cup,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:46:51.343,0,3,-0.1,0.02,0.01,0.02,0,Normal,
20230913 19:46:51.359,0,2,-0.1,0.01,0,0.04,0,Normal,
20230913 19:46:51.375,0,2,-0.1,-0.01,0.01,0.03,0,Normal,
20230913 19:46:51.390,0,3,-0.1,0,0,0.03,0,Normal,
20230913 19:46:51.406,0,2,-0.1,-0.01,0.01,0.03,0,Normal,
20230913 19:46:51.421,0,3,-0.1,-0.03,0.01,0.03,0,Normal,
20230913 19:46:51.437,0,2,-0.1,0.02,0.01,0.02,0,Normal,
20230913 19:46:51.453,0,2,-0.1,-0.02,0,0.02,0,Normal,
20230913 19:46:51.484,0,2,-0.1,-0.01,0.01,0.02,0,Normal,
20230913 19:46:51.500,0,2,-0.1,0.01,0.01,0.02,0,Normal,
20230913 19:46:51.515,0,4,-0.1,-0.03,0.01,0.01,0,Normal,
20230913 19:46:51.531,-0.1,5,-0.1,-0.01,0,0.03,0,Normal,
20230913 19:46:51.546,0,4,-0.1,0.01,0,0.06,0,Normal,
20230913 19:46:51.562,0,3,-0.1,0,0.01,0.04,0,Normal,
20230913 19:46:51.578,0,1,-0.1,0,0,0.03,0,Normal,
20230913 19:46:51.593,0,4,-0.1,0,0,0.04,0,Normal,
20230913 19:46:51.609,0,3,-0.1,0,0,0.04,0,Normal,
20230913 19:46:51.625,0,2,-0.1,-0.01,-0.01,0.03,0,Normal,
20230913 19:46:51.640,0.1,4,-0.1,0,0.01,0.02,0,Normal,
20230913 19:46:51.656,0,2,-0.1,0.04,0,0.04,0,Normal,
20230913 19:46:51.671,0,2,-0.1,-0.01,0.01,0.02,0,Normal,
20230913 19:46:51.687,0,2,-0.1,0.02,0.01,0.04,0,Normal,
20230913 19:46:51.703,0,2,-0.1,0.01,0.01,0,0,Normal,
20230913 19:46:51.718,0,4,-0.1,0,0.02,0.01,0,Normal,
