Date:,9/13/2023,,,,,,,,
Time:,7:52 PM,,,,,,,,
Summary Notes:,sphere velocity,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:51:48.359,0,2,0,0,0,0,0,Normal,
20230913 19:51:48.375,0,2,0,-0.01,-0.01,-0.03,0,Normal,
20230913 19:51:48.390,0,2,0,0,-0.01,-0.03,0,Normal,
20230913 19:51:48.406,0,1,0,-0.01,0.01,-0.04,0,Normal,
20230913 19:51:48.421,0,3,0,-0.03,-0.01,-0.02,0,Normal,
20230913 19:51:48.437,0,1,0,-0.01,-0.02,-0.01,0,Normal,
20230913 19:51:48.453,0,2,0,-0.01,-0.01,-0.04,0,Normal,
20230913 19:51:48.468,0,3,0,-0.01,0,-0.03,0,Normal,
20230913 19:51:48.484,-0.1,5,0,0,-0.01,-0.03,0,Normal,
20230913 19:51:48.515,0,3,0,-0.02,0,-0.03,0,Normal,
20230913 19:51:48.531,0,3,0,-0.01,0,-0.05,0,Normal,
20230913 19:51:48.546,0,3,0,-0.02,0,-0.04,0,Normal,
20230913 19:51:48.562,0,4,0,-0.01,-0.02,-0.03,0,Normal,
20230913 19:51:48.578,0,4,0,-0.03,-0.01,-0.05,0,Normal,
20230913 19:51:48.593,0,4,0,-0.01,-0.01,-0.05,0,Normal,
20230913 19:51:48.609,0,2,0,0,-0.02,-0.02,0,Normal,
20230913 19:51:48.625,0,3,0,-0.02,0,-0.01,0,Normal,
20230913 19:51:48.640,0,1,0,-0.01,-0.02,-0.02,0,Normal,
20230913 19:51:48.656,0,2,0,-0.01,0,-0.03,0,Normal,
20230913 19:51:48.671,0,2,0,0.02,-0.01,-0.03,0,Normal,
20230913 19:51:48.687,0,3,0,-0.01,0,-0.03,0,Normal,
20230913 19:51:48.703,0,1,0,0,0,-0.03,0,Normal,
20230913 19:51:48.718,0,4,0,-0.01,-0.01,-0.03,0,Normal,
